dia,S,I,R,D,R_eff
0,999997,2,1,0,2.0000
1,999994,5,1,0,2.5000
2,999991,8,1,0,1.6000
3,999985,12,3,0,1.5000
4,999979,16,5,0,1.3333
5,999974,20,6,0,1.2500
6,999969,24,7,0,1.2000
7,999961,31,8,0,1.2917
8,999951,37,12,0,1.1935
9,999939,44,17,0,1.1892
10,999924,49,27,0,1.1136
11,999913,54,33,0,1.1020
12,999902,59,39,0,1.0926
13,999889,68,43,0,1.1525
14,999872,81,47,0,1.1912
15,999855,93,51,1,1.1481
16,999832,104,63,1,1.1183
17,999818,109,71,2,1.0481
18,999792,120,86,2,1.1009
19,999764,133,100,3,1.1083
20,999737,146,114,3,1.0977
21,999714,152,131,3,1.0411
22,999688,154,154,4,1.0132
23,999662,164,168,6,1.0649
24,999643,167,184,6,1.0183
25,999616,173,201,10,1.0359
26,999591,183,216,10,1.0578
27,999564,193,230,13,1.0546
28,999534,204,245,17,1.0570
29,999500,207,274,19,1.0147
30,999462,222,295,21,1.0725
31,999434,227,318,21,1.0225
32,999399,234,345,22,1.0308
33,999361,240,374,25,1.0256
34,999326,250,395,29,1.0417
35,999283,258,426,33,1.0320
36,999242,274,449,35,1.0620
37,999202,294,466,38,1.0730
38,999156,300,502,42,1.0204
39,999106,315,532,47,1.0500
40,999061,328,561,50,1.0413
41,999011,337,600,52,1.0274
42,998950,365,630,55,1.0831
43,998903,369,667,61,1.0110
44,998851,383,700,66,1.0379
45,998785,396,745,74,1.0339
46,998730,408,786,76,1.0303
47,998658,433,828,81,1.0613
48,998599,458,854,89,1.0577
49,998537,462,907,94,1.0087
50,998473,474,952,101,1.0260
51,998418,476,1001,105,1.0042
52,998346,485,1057,112,1.0189
53,998271,509,1103,117,1.0495
54,998208,511,1161,120,1.0039
55,998138,527,1209,126,1.0313
56,998056,560,1255,129,1.0626
57,997962,589,1312,137,1.0518
58,997872,625,1360,143,1.0611
59,997786,639,1428,147,1.0224
60,997704,662,1483,151,1.0360
61,997621,677,1548,154,1.0227
62,997526,700,1610,164,1.0340
63,997435,720,1669,176,1.0286
64,997353,721,1746,180,1.0014
65,997270,725,1821,184,1.0055
66,997189,720,1901,190,0.9931
67,997116,702,1982,200,0.9750
68,997031,720,2045,204,1.0256
69,996945,726,2115,214,1.0083
70,996850,751,2181,218,1.0344
71,996756,754,2262,228,1.0040
72,996664,747,2347,242,0.9907
73,996566,759,2424,251,1.0161
74,996467,774,2494,265,1.0198
75,996361,809,2560,270,1.0452
76,996255,838,2633,274,1.0358
77,996163,836,2719,282,0.9976
78,996064,839,2808,289,1.0036
79,995963,844,2898,295,1.0060
80,995842,867,2984,307,1.0273
81,995727,872,3090,311,1.0058
82,995606,901,3177,316,1.0333
83,995492,913,3269,326,1.0133
84,995384,928,3350,338,1.0164
85,995282,924,3450,344,0.9957
86,995176,918,3551,355,0.9935
87,995067,935,3635,363,1.0185
88,994956,946,3724,374,1.0118
89,994856,942,3817,385,0.9958
90,994740,951,3913,396,1.0096
91,994609,981,4005,405,1.0315
92,994472,999,4117,412,1.0183
93,994348,1023,4207,422,1.0240
94,994214,1031,4322,433,1.0078
95,994087,1052,4413,448,1.0204
96,993960,1070,4515,455,1.0171
97,993834,1082,4622,462,1.0112
98,993705,1100,4724,471,1.0166
99,993574,1116,4828,482,1.0145
100,993443,1144,4922,491,1.0251
101,993311,1141,5050,498,0.9974
102,993177,1164,5150,509,1.0202
103,993054,1149,5277,520,0.9871
104,992914,1167,5383,536,1.0157
105,992775,1167,5510,548,1.0000
106,992612,1199,5630,559,1.0274
107,992460,1214,5756,570,1.0125
108,992314,1234,5866,586,1.0165
109,992177,1241,5988,594,1.0057
110,992043,1237,6115,605,0.9968
111,991899,1256,6229,616,1.0154
112,991741,1259,6369,631,1.0024
113,991575,1292,6493,640,1.0262
114,991396,1344,6610,650,1.0402
115,991228,1333,6775,664,0.9918
116,991088,1319,6918,675,0.9895
117,990941,1298,7070,691,0.9841
118,990782,1299,7212,707,1.0008
119,990611,1309,7352,728,1.0077
120,990447,1322,7487,744,1.0099
121,990292,1329,7623,756,1.0053
122,990137,1356,7739,768,1.0203
123,989967,1366,7880,787,1.0074
124,989802,1370,8026,802,1.0029
125,989643,1384,8160,813,1.0102
126,989470,1401,8306,823,1.0123
127,989305,1406,8453,836,1.0036
128,989114,1466,8575,845,1.0427
129,988932,1478,8727,863,1.0082
130,988758,1496,8866,880,1.0122
131,988592,1513,9000,895,1.0114
132,988408,1517,9161,914,1.0026
133,988235,1509,9329,927,0.9947
134,988064,1493,9491,952,0.9894
135,987891,1499,9641,969,1.0040
136,987716,1498,9805,981,0.9993
137,987513,1526,9967,994,1.0187
138,987318,1549,10124,1009,1.0151
139,987117,1578,10281,1024,1.0187
140,986905,1611,10443,1041,1.0209
141,986707,1622,10611,1060,1.0068
142,986499,1665,10754,1082,1.0265
143,986294,1693,10917,1096,1.0168
144,986078,1707,11101,1114,1.0083
145,985872,1714,11277,1137,1.0041
146,985666,1730,11455,1149,1.0093
147,985429,1757,11646,1168,1.0156
148,985243,1736,11832,1189,0.9880
149,985034,1748,12012,1206,1.0069
150,984808,1773,12200,1219,1.0143
151,984606,1810,12354,1230,1.0209
152,984396,1803,12549,1252,0.9961
153,984161,1847,12721,1271,1.0244
154,983952,1868,12894,1286,1.0114
155,983731,1876,13082,1311,1.0043
156,983508,1892,13259,1341,1.0085
157,983282,1912,13441,1365,1.0106
158,983037,1927,13646,1390,1.0078
159,982792,1958,13837,1413,1.0161
160,982567,1948,14054,1431,0.9949
161,982358,1948,14241,1453,1.0000
162,982123,1954,14456,1467,1.0031
163,981891,1958,14666,1485,1.0020
164,981675,1943,14873,1509,0.9923
165,981439,1958,15075,1528,1.0077
166,981199,1977,15279,1545,1.0097
167,980981,1991,15472,1556,1.0071
168,980734,2046,15649,1571,1.0276
169,980494,2053,15865,1588,1.0034
170,980255,2095,16045,1605,1.0205
171,980016,2093,16271,1620,0.9990
172,979790,2091,16479,1640,0.9990
173,979557,2062,16717,1664,0.9861
174,979307,2076,16937,1680,1.0068
175,979055,2097,17141,1707,1.0101
176,978792,2144,17335,1729,1.0224
177,978560,2146,17550,1744,1.0009
178,978320,2131,17781,1768,0.9930
179,978066,2150,17993,1791,1.0089
180,977810,2132,18244,1814,0.9916
181,977558,2121,18484,1837,0.9948
182,977314,2138,18683,1865,1.0080
183,977058,2174,18885,1883,1.0168
184,976800,2184,19114,1902,1.0046
185,976547,2172,19358,1923,0.9945
186,976321,2142,19593,1944,0.9862
187,976072,2175,19785,1968,1.0154
188,975833,2175,20006,1986,1.0000
189,975580,2209,20202,2009,1.0156
190,975337,2209,20423,2031,1.0000
191,975082,2201,20658,2059,0.9964
192,974815,2234,20885,2066,1.0150
193,974515,2308,21085,2092,1.0331
194,974221,2364,21299,2116,1.0243
195,973926,2392,21541,2141,1.0118
196,973636,2415,21785,2164,1.0096
197,973352,2457,22006,2185,1.0174
198,973044,2499,22244,2213,1.0171
199,972749,2515,22499,2237,1.0064
200,972451,2534,22757,2258,1.0076
201,972156,2536,23026,2282,1.0008
202,971881,2545,23270,2304,1.0035
203,971608,2541,23518,2333,0.9984
204,971343,2510,23781,2366,0.9878
205,971076,2469,24065,2390,0.9837
206,970796,2463,24325,2416,0.9976
207,970509,2500,24546,2445,1.0150
208,970227,2477,24821,2475,0.9908
209,969944,2489,25064,2503,1.0048
210,969652,2529,25291,2528,1.0161
211,969364,2515,25558,2563,0.9945
212,969080,2518,25813,2589,1.0012
213,968784,2556,26051,2609,1.0151
214,968476,2591,26301,2632,1.0137
215,968182,2617,26545,2656,1.0100
216,967845,2653,26822,2680,1.0138
217,967530,2665,27094,2711,1.0045
218,967237,2669,27345,2749,1.0015
219,966943,2674,27602,2781,1.0019
220,966646,2662,27885,2807,0.9955
221,966329,2697,28132,2842,1.0131
222,966031,2677,28423,2869,0.9926
223,965701,2712,28685,2902,1.0131
224,965388,2728,28960,2924,1.0059
225,965036,2783,29228,2953,1.0202
226,964697,2823,29499,2981,1.0144
227,964368,2828,29792,3012,1.0018
228,964061,2819,30078,3042,0.9968
229,963748,2811,30372,3069,0.9972
230,963437,2795,30672,3096,0.9943
231,963101,2837,30927,3135,1.0150
232,962781,2868,31193,3158,1.0109
233,962456,2898,31461,3185,1.0105
234,962112,2949,31720,3219,1.0176
235,961767,2977,32016,3240,1.0095
236,961435,2966,32334,3265,0.9963
237,961109,2993,32599,3299,1.0091
238,960771,3010,32890,3329,1.0057
239,960477,2967,33194,3362,0.9857
240,960117,3011,33475,3397,1.0148
241,959786,3019,33774,3421,1.0027
242,959439,3018,34097,3446,0.9997
243,959126,2990,34410,3474,0.9907
244,958749,3062,34687,3502,1.0241
245,958411,3050,35007,3532,0.9961
246,958045,3098,35301,3556,1.0157
247,957695,3136,35581,3588,1.0123
248,957340,3150,35894,3616,1.0045
249,956992,3132,36226,3650,0.9943
250,956645,3148,36533,3674,1.0051
251,956281,3173,36846,3700,1.0079
252,955903,3234,37138,3725,1.0192
253,955550,3257,37444,3749,1.0071
254,955195,3250,37769,3786,0.9979
255,954842,3285,38055,3818,1.0108
256,954494,3282,38370,3854,0.9991
257,954140,3283,38682,3895,1.0003
258,953756,3287,39019,3938,1.0012
259,953396,3293,39341,3970,1.0018
260,953025,3262,39709,4004,0.9906
261,952648,3274,40035,4043,1.0037
262,952277,3316,40339,4068,1.0128
263,951898,3346,40655,4101,1.0090
264,951534,3357,40979,4130,1.0033
265,951181,3357,41302,4160,1.0000
266,950798,3352,41648,4202,0.9985
267,950417,3396,41966,4221,1.0131
268,950014,3438,42292,4256,1.0124
269,949645,3434,42619,4302,0.9988
270,949249,3439,42971,4341,1.0015
271,948843,3441,43345,4371,1.0006
272,948454,3471,43664,4411,1.0087
273,948044,3503,44004,4449,1.0092
274,947611,3553,44365,4471,1.0143
275,947212,3559,44716,4513,1.0017
276,946798,3587,45075,4540,1.0079
277,946409,3586,45439,4566,0.9997
278,946027,3612,45765,4596,1.0073
279,945608,3613,46151,4628,1.0003
280,945200,3625,46515,4660,1.0033
281,944824,3586,46897,4693,0.9892
282,944410,3589,47277,4724,1.0008
283,944047,3572,47629,4752,0.9953
284,943669,3533,48008,4790,0.9891
285,943256,3523,48392,4829,0.9972
286,942843,3539,48758,4860,1.0045
287,942398,3549,49151,4902,1.0028
288,941950,3591,49521,4938,1.0118
289,941538,3602,49879,4981,1.0031
290,941124,3631,50237,5008,1.0081
291,940728,3663,50566,5043,1.0088
292,940303,3672,50957,5068,1.0025
293,939882,3717,51303,5098,1.0123
294,939458,3714,51708,5120,0.9992
295,939047,3706,52086,5161,0.9978
296,938651,3700,52458,5191,0.9984
297,938252,3687,52835,5226,0.9965
298,937833,3679,53227,5261,0.9978
299,937424,3676,53612,5288,0.9992
300,936994,3685,53992,5329,1.0024
301,936549,3732,54356,5363,1.0128
302,936120,3726,54754,5400,0.9984
303,935677,3747,55150,5426,1.0056
304,935250,3740,55533,5477,0.9981
305,934817,3702,55957,5524,0.9898
306,934418,3676,56353,5553,0.9930
307,933996,3691,56727,5586,1.0041
308,933570,3697,57113,5620,1.0016
309,933112,3734,57500,5654,1.0100
310,932671,3771,57859,5699,1.0099
311,932222,3813,58228,5737,1.0111
312,931766,3884,58572,5778,1.0186
313,931332,3929,58920,5819,1.0116
314,930846,4010,59278,5866,1.0206
315,930405,4016,59682,5897,1.0015
316,929961,4046,60058,5935,1.0075
317,929500,4015,60500,5985,0.9923
318,929041,4044,60895,6020,1.0072
319,928590,4058,61285,6067,1.0035
320,928134,4085,61675,6106,1.0067
321,927677,4105,62072,6146,1.0049
322,927209,4113,62494,6184,1.0019
323,926750,4103,62922,6225,0.9976
324,926313,4095,63333,6259,0.9981
325,925902,4047,63752,6299,0.9883
326,925462,4015,64175,6348,0.9921
327,925010,4020,64584,6386,1.0012
328,924571,4007,64988,6434,0.9968
329,924091,4016,65420,6473,1.0022
330,923608,4034,65837,6521,1.0045
331,923127,4084,66233,6556,1.0124
332,922622,4120,66665,6593,1.0088
333,922158,4139,67067,6636,1.0046
334,921703,4174,67446,6677,1.0085
335,921222,4206,67858,6714,1.0077
336,920718,4249,68278,6755,1.0102
337,920210,4293,68694,6803,1.0104
338,919724,4313,69117,6846,1.0047
339,919248,4336,69534,6882,1.0053
340,918743,4385,69940,6932,1.0113
341,918219,4421,70376,6984,1.0082
342,917745,4391,70838,7026,0.9932
343,917264,4380,71288,7068,0.9975
344,916764,4398,71718,7120,1.0041
345,916280,4392,72153,7175,0.9986
346,915771,4416,72598,7215,1.0055
347,915245,4481,73022,7252,1.0147
348,914714,4524,73469,7293,1.0096
349,914177,4574,73923,7326,1.0111
350,913647,4601,74385,7367,1.0059
351,913110,4646,74844,7400,1.0098
352,912606,4653,75289,7452,1.0015
353,912089,4672,75748,7491,1.0041
354,911557,4691,76213,7539,1.0041
355,910994,4711,76710,7585,1.0043
356,910477,4670,77218,7635,0.9913
357,909963,4698,77662,7677,1.0060
358,909445,4694,78142,7719,0.9991
359,908935,4684,78613,7768,0.9979
360,908395,4717,79065,7823,1.0070
361,907888,4697,79533,7882,0.9958
362,907361,4677,80030,7932,0.9957
363,906886,4615,80517,7982,0.9867
364,906357,4620,80994,8029,1.0011
