dia,S,I,R,D
0,999999,1,0,0
1,999998,2,0,0
2,999996,4,0,0
3,999992,8,0,0
4,999988,10,2,0
5,999986,11,3,0
6,999979,18,3,0
7,999977,17,5,1
8,999970,24,5,1
9,999960,32,7,1
10,999949,37,13,1
11,999934,48,17,1
12,999925,54,20,1
13,999912,67,20,1
14,999898,74,27,1
15,999886,75,38,1
16,999874,77,48,1
17,999861,83,54,2
18,999848,88,60,4
19,999827,97,69,7
20,999812,101,76,11
21,999796,105,86,13
22,999769,119,98,14
23,999736,141,108,15
24,999710,149,124,17
25,999685,160,136,19
26,999655,165,160,20
27,999623,173,181,23
28,999593,184,199,24
29,999563,191,220,26
30,999532,206,236,26
31,999499,211,262,28
32,999467,213,290,30
33,999433,225,310,32
34,999398,237,331,34
35,999360,244,358,38
36,999327,249,386,38
37,999278,267,414,41
38,999241,274,439,46
39,999194,285,469,52
40,999150,304,491,55
41,999100,321,520,59
42,999047,337,552,64
43,998995,347,591,67
44,998938,353,634,75
45,998882,373,664,81
46,998822,386,706,86
47,998760,403,747,90
48,998697,417,795,91
49,998630,440,837,93
50,998556,466,883,95
51,998491,479,931,99
52,998426,494,977,103
53,998357,527,1010,106
54,998291,546,1048,115
55,998232,543,1104,121
56,998159,563,1151,127
57,998091,572,1203,134
58,998026,577,1259,138
59,997951,579,1323,147
60,997866,605,1375,154
61,997784,616,1439,161
62,997706,632,1496,166
63,997623,646,1558,173
64,997544,654,1621,181
65,997464,665,1686,185
66,997378,684,1746,192
67,997295,698,1811,196
68,997211,691,1891,207
69,997113,721,1953,213
70,997026,710,2043,221
71,996920,737,2114,229
72,996818,755,2194,233
73,996737,745,2277,241
74,996640,754,2356,250
75,996548,750,2445,257
76,996449,762,2523,266
77,996357,781,2590,272
78,996262,791,2671,276
79,996167,811,2739,283
80,996067,825,2819,289
81,995967,844,2896,293
82,995868,866,2966,300
83,995743,906,3043,308
84,995638,913,3134,315
85,995529,902,3240,329
86,995417,923,3320,340
87,995295,955,3404,346
88,995181,976,3491,352
89,995081,970,3586,363
90,994966,972,3688,374
91,994850,989,3779,382
92,994722,1000,3888,390
93,994610,1004,3991,395
94,994488,1015,4088,409
95,994348,1051,4181,420
96,994228,1069,4274,429
97,994097,1085,4383,435
98,993959,1114,4479,448
99,993832,1115,4592,461
100,993683,1135,4710,472
101,993527,1156,4829,488
102,993377,1167,4958,498
103,993240,1181,5076,503
104,993107,1184,5193,516
105,992963,1190,5319,528
106,992841,1165,5450,544
107,992714,1169,5566,551
108,992575,1190,5675,560
109,992436,1207,5784,573
110,992265,1229,5918,588
111,992115,1237,6046,602
112,991956,1272,6156,616
113,991795,1293,6286,626
114,991630,1328,6407,635
115,991461,1345,6547,647
116,991311,1329,6700,660
117,991151,1359,6818,672
118,990983,1368,6955,694
119,990807,1393,7092,708
120,990633,1413,7231,723
121,990475,1416,7370,739
122,990290,1443,7517,750
123,990123,1453,7652,772
124,989962,1467,7784,787
125,989794,1471,7938,797
126,989625,1488,8073,814
127,989446,1519,8210,825
128,989284,1533,8343,840
129,989103,1558,8492,847
130,988930,1555,8655,860
131,988756,1582,8787,875
132,988579,1586,8940,895
