dia,S,I,R,D,R_eff
0,999998,1,1,0,1.0000
1,999997,1,2,0,1.0000
2,999997,1,2,0,1.0000
3,999996,2,2,0,2.0000
4,999994,4,2,0,2.0000
5,999990,8,2,0,2.0000
6,999985,12,3,0,1.5000
7,999976,21,3,0,1.7500
8,999968,29,3,0,1.3810
9,999959,34,7,0,1.1724
10,999947,40,13,0,1.1765
11,999932,50,18,0,1.2500
12,999921,56,21,2,1.1200
13,999905,68,25,2,1.2143
14,999889,76,33,2,1.1176
15,999873,80,43,4,1.0526
16,999860,84,52,4,1.0500
17,999844,90,61,5,1.0714
18,999827,101,66,6,1.1222
19,999805,109,78,8,1.0792
20,999790,112,89,9,1.0275
21,999769,122,99,10,1.0893
22,999750,126,113,11,1.0328
23,999733,133,123,11,1.0556
24,999710,143,136,11,1.0752
25,999689,152,148,11,1.0629
26,999665,161,162,12,1.0592
27,999639,169,180,12,1.0497
28,999610,177,199,14,1.0473
29,999575,196,212,17,1.1073
30,999536,218,228,18,1.1122
31,999499,230,251,20,1.0550
32,999471,229,279,21,0.9957
33,999442,226,307,25,0.9869
34,999406,240,326,28,1.0619
35,999370,253,349,28,1.0542
36,999338,253,374,35,1.0000
37,999297,263,403,37,1.0395
38,999256,281,421,42,1.0684
39,999217,287,452,44,1.0214
40,999167,309,480,44,1.0767
41,999115,331,508,46,1.0712
42,999070,335,547,48,1.0121
43,999010,346,594,50,1.0328
44,998966,346,633,55,1.0000
45,998913,350,674,63,1.0116
46,998856,369,708,67,1.0543
47,998801,388,741,70,1.0515
48,998742,392,792,74,1.0103
49,998679,406,838,77,1.0357
50,998625,410,887,78,1.0099
51,998570,425,926,79,1.0366
52,998502,444,968,86,1.0447
53,998438,459,1013,90,1.0338
54,998381,475,1051,93,1.0349
55,998320,468,1109,103,0.9853
56,998260,480,1153,107,1.0256
57,998197,504,1190,109,1.0500
58,998125,512,1245,118,1.0159
59,998047,521,1310,122,1.0176
60,997978,528,1368,126,1.0134
61,997898,553,1421,128,1.0473
62,997824,561,1479,136,1.0145
63,997737,581,1540,142,1.0357
64,997654,606,1594,146,1.0430
65,997567,626,1652,155,1.0330
66,997481,642,1716,161,1.0256
67,997391,666,1780,163,1.0374
68,997307,676,1845,172,1.0150
69,997217,689,1906,188,1.0192
70,997124,703,1977,196,1.0203
71,997025,722,2050,203,1.0270
72,996930,735,2121,214,1.0180
73,996814,762,2206,218,1.0367
74,996708,779,2288,225,1.0223
75,996602,789,2375,234,1.0128
76,996500,814,2446,240,1.0317
77,996391,834,2524,251,1.0246
78,996281,848,2614,257,1.0168
79,996182,845,2700,273,0.9965
80,996080,856,2781,283,1.0130
